"value","mean","sd","lower","median","upper","mode","kld","group","effect","deltawaic","deltadic","deltaLS","clim","lag"
22.754135,0.490324229001999,0.102820485830307,0.288711332134123,0.490224951615815,0.692274804676853,0.490023285150528,1.09465227995994e-06,1,"precip_4",-202.694514228031,-121.891575952061,-0.000795932683270051,"precip","4"
23.8599772565067,0.471112877130508,0.104421898722649,0.26640439806151,0.47099679964135,0.676245566461596,0.470758974552155,1.33341751997368e-06,1,"precip_4",-202.694514228031,-121.891575952061,-0.000795932683270051,"precip","4"
25.19954,0.45413938164711,0.106589965522289,0.245317095172782,0.453976139462727,0.66363458397001,0.453636229038239,2.21607253793213e-06,1,"precip_4",-202.694514228031,-121.891575952061,-0.000795932683270051,"precip","4"
26.4547882943273,0.43190461397171,0.108535438776016,0.219439375951524,0.431683776113374,0.645346745699927,0.43121737241745,3.37648031951966e-06,1,"precip_4",-202.694514228031,-121.891575952061,-0.000795932683270051,"precip","4"
27.520445880189,0.406357824802399,0.109543792903423,0.192090840910047,0.406080841584632,0.62189980109491,0.405489444732666,4.6753968801933e-06,1,"precip_4",-202.694514228031,-121.891575952061,-0.000795932683270051,"precip","4"
28.75819,0.364681422710419,0.109258346259594,0.151180780649701,0.364342884273415,0.579787716923876,0.363612622022629,6.4633701800092e-06,1,"precip_4",-202.694514228031,-121.891575952061,-0.000795932683270051,"precip","4"
30.27686,0.287747025489807,0.105840176343918,0.0811415865894328,0.287358841092723,0.496233804502966,0.286514461040497,8.6760235844393e-06,1,"precip_4",-202.694514228031,-121.891575952061,-0.000795932683270051,"precip","4"
31.4902899261558,0.2012709826231,0.100621677935123,0.00497226845466506,0.200870456223082,0.39952990743247,0.199995845556259,1.00556953291635e-05,1,"precip_4",-202.694514228031,-121.891575952061,-0.000795932683270051,"precip","4"
32.545785,0.10273952037096,0.0949497222900391,-0.0824500197600653,0.102346669872949,0.289853991359175,0.10148598253727,1.00541042740932e-05,1,"precip_4",-202.694514228031,-121.891575952061,-0.000795932683270051,"precip","4"
33.8602093979717,-0.0492417588829994,0.0880894586443901,-0.221133278316384,-0.0495916920467165,0.124343786561416,-0.0503593422472477,7.96319779364813e-06,1,"precip_4",-202.694514228031,-121.891575952061,-0.000795932683270051,"precip","4"
34.55574,-0.139560967683792,0.0855398550629616,-0.306608341919108,-0.139866085985801,0.0289407258781808,-0.140532538294792,6.21672824558276e-06,1,"precip_4",-202.694514228031,-121.891575952061,-0.000795932683270051,"precip","4"
35.9504088935932,-0.3393614590168,0.086228683590889,-0.508191028945892,-0.339535747670626,-0.169777422676968,-0.33990740776062,2.34589270468389e-06,1,"precip_4",-202.694514228031,-121.891575952061,-0.000795932683270051,"precip","4"
37.33032,-0.554116427898407,0.0979679748415947,-0.746405424295464,-0.554153460691528,-0.36182172083541,-0.554224371910095,3.48084532030197e-07,1,"precip_4",-202.694514228031,-121.891575952061,-0.000795932683270051,"precip","4"
38.21157,-0.698258638381958,0.111795701086521,-0.917919644095099,-0.698218368469296,-0.479026200327306,-0.698122680187225,3.28180076540662e-07,1,"precip_4",-202.694514228031,-121.891575952061,-0.000795932683270051,"precip","4"
39.8353431373835,-0.976342380046844,0.148608401417732,-1.26869278571475,-0.976156987796693,-0.685252673810539,-0.975747048854828,1.47810056219169e-06,1,"precip_4",-202.694514228031,-121.891575952061,-0.000795932683270051,"precip","4"
