"provinceid","province","areaid","district","year","month","date","cases","year_useable_from","year_month","population_census","urbanpop_census","ruralpop_census","popdens_census","pop_propurban_census","incidence"
80043,"Khanh Hoa","70454","Van Ninh",2020,6,2020-10-16,168,1999,"2020_6",130610,19748,110862,235.805488372258,0.15119822371947,128.627210780185
80043,"Khanh Hoa","70454","Van Ninh",2020,7,2020-11-16,181,1999,"2020_7",130610,19748,110862,235.805488372258,0.15119822371947,138.580506852462
80043,"Khanh Hoa","70454","Van Ninh",2020,8,2020-12-16,123,1999,"2020_8",130610,19748,110862,235.805488372258,0.15119822371947,94.1734936069214
80043,"Khanh Hoa","70454","Van Ninh",2020,9,2021-01-16,73,1999,"2020_9",130610,19748,110862,235.805488372258,0.15119822371947,55.8915856366281
80043,"Khanh Hoa","70454","Van Ninh",2020,10,2021-02-16,31,1999,"2020_10",130610,19748,110862,235.805488372258,0.15119822371947,23.7347829415818
80043,"Khanh Hoa","70454","Van Ninh",2020,11,2021-03-16,15,1999,"2020_11",130610,19748,110862,235.805488372258,0.15119822371947,11.484572391088
80043,"Khanh Hoa","70454","Van Ninh",2020,12,2021-04-16,20,1999,"2020_12",130610,19748,110862,235.805488372258,0.15119822371947,15.3127631881173
80043,"Khanh Hoa","70460","Ninh Hoa",1998,1,1998-05-16,NA,1999,"1998_1",202395.355470011,2593.75095180051,199801.604518211,168.447771280305,0.0128152691339047,NA
80043,"Khanh Hoa","70460","Ninh Hoa",1998,2,1998-06-16,NA,1999,"1998_2",202395.355470011,2593.75095180051,199801.604518211,168.447771280305,0.0128152691339047,NA
80043,"Khanh Hoa","70460","Ninh Hoa",1998,3,1998-07-16,NA,1999,"1998_3",202395.355470011,2593.75095180051,199801.604518211,168.447771280305,0.0128152691339047,NA
80043,"Khanh Hoa","70460","Ninh Hoa",1998,4,1998-08-16,NA,1999,"1998_4",202395.355470011,2593.75095180051,199801.604518211,168.447771280305,0.0128152691339047,NA
80043,"Khanh Hoa","70460","Ninh Hoa",1998,5,1998-09-16,NA,1999,"1998_5",202395.355470011,2593.75095180051,199801.604518211,168.447771280305,0.0128152691339047,NA
80043,"Khanh Hoa","70460","Ninh Hoa",1998,6,1998-10-16,NA,1999,"1998_6",202395.355470011,2593.75095180051,199801.604518211,168.447771280305,0.0128152691339047,NA
80043,"Khanh Hoa","70460","Ninh Hoa",1998,7,1998-11-16,NA,1999,"1998_7",202395.355470011,2593.75095180051,199801.604518211,168.447771280305,0.0128152691339047,NA
80043,"Khanh Hoa","70460","Ninh Hoa",1998,8,1998-12-16,NA,1999,"1998_8",202395.355470011,2593.75095180051,199801.604518211,168.447771280305,0.0128152691339047,NA
80043,"Khanh Hoa","70460","Ninh Hoa",1998,9,1999-01-16,0,1999,"1998_9",202395.355470011,2593.75095180051,199801.604518211,168.447771280305,0.0128152691339047,0
80043,"Khanh Hoa","70460","Ninh Hoa",1998,10,1999-02-16,0,1999,"1998_10",202395.355470011,2593.75095180051,199801.604518211,168.447771280305,0.0128152691339047,0
80043,"Khanh Hoa","70460","Ninh Hoa",1998,11,1999-03-16,0,1999,"1998_11",202395.355470011,2593.75095180051,199801.604518211,168.447771280305,0.0128152691339047,0
80043,"Khanh Hoa","70460","Ninh Hoa",1998,12,1999-04-16,0,1999,"1998_12",202395.355470011,2593.75095180051,199801.604518211,168.447771280305,0.0128152691339047,0
80043,"Khanh Hoa","70460","Ninh Hoa",1999,1,1999-05-16,0,1999,"1999_1",204885.628109243,3138.48997185412,201747.138137389,170.520352812548,0.0153182534119997,0
80043,"Khanh Hoa","70460","Ninh Hoa",1999,2,1999-06-16,0,1999,"1999_2",204885.628109243,3138.48997185412,201747.138137389,170.520352812548,0.0153182534119997,0
80043,"Khanh Hoa","70460","Ninh Hoa",1999,3,1999-07-16,0,1999,"1999_3",204885.628109243,3138.48997185412,201747.138137389,170.520352812548,0.0153182534119997,0
80043,"Khanh Hoa","70460","Ninh Hoa",1999,4,1999-08-16,0,1999,"1999_4",204885.628109243,3138.48997185412,201747.138137389,170.520352812548,0.0153182534119997,0
80043,"Khanh Hoa","70460","Ninh Hoa",1999,5,1999-09-16,0,1999,"1999_5",204885.628109243,3138.48997185412,201747.138137389,170.520352812548,0.0153182534119997,0
80043,"Khanh Hoa","70460","Ninh Hoa",1999,6,1999-10-16,15,1999,"1999_6",204885.628109243,3138.48997185412,201747.138137389,170.520352812548,0.0153182534119997,7.3211577300103
80043,"Khanh Hoa","70460","Ninh Hoa",1999,7,1999-11-16,16,1999,"1999_7",204885.628109243,3138.48997185412,201747.138137389,170.520352812548,0.0153182534119997,7.80923491201099
80043,"Khanh Hoa","70460","Ninh Hoa",1999,8,1999-12-16,6,1999,"1999_8",204885.628109243,3138.48997185412,201747.138137389,170.520352812548,0.0153182534119997,2.92846309200412
80043,"Khanh Hoa","70460","Ninh Hoa",1999,9,2000-01-16,19,1999,"1999_9",204885.628109243,3138.48997185412,201747.138137389,170.520352812548,0.0153182534119997,9.27346645801305
80043,"Khanh Hoa","70460","Ninh Hoa",1999,10,2000-02-16,9,1999,"1999_10",204885.628109243,3138.48997185412,201747.138137389,170.520352812548,0.0153182534119997,4.39269463800618
80043,"Khanh Hoa","70460","Ninh Hoa",1999,11,2000-03-16,12,1999,"1999_11",204885.628109243,3138.48997185412,201747.138137389,170.520352812548,0.0153182534119997,5.85692618400824
80043,"Khanh Hoa","70460","Ninh Hoa",1999,12,2000-04-16,9,1999,"1999_12",204885.628109243,3138.48997185412,201747.138137389,170.520352812548,0.0153182534119997,4.39269463800618
80043,"Khanh Hoa","70460","Ninh Hoa",2000,1,2000-05-16,12,1999,"2000_1",207375.900748474,3797.07393703848,203578.826811436,172.592934344791,0.0183101022024924,5.78659331035518
80043,"Khanh Hoa","70460","Ninh Hoa",2000,2,2000-06-16,6,1999,"2000_2",207375.900748474,3797.07393703848,203578.826811436,172.592934344791,0.0183101022024924,2.89329665517759
80043,"Khanh Hoa","70460","Ninh Hoa",2000,3,2000-07-16,3,1999,"2000_3",207375.900748474,3797.07393703848,203578.826811436,172.592934344791,0.0183101022024924,1.4466483275888
80043,"Khanh Hoa","70460","Ninh Hoa",2000,4,2000-08-16,4,1999,"2000_4",207375.900748474,3797.07393703848,203578.826811436,172.592934344791,0.0183101022024924,1.92886443678506
80043,"Khanh Hoa","70460","Ninh Hoa",2000,5,2000-09-16,2,1999,"2000_5",207375.900748474,3797.07393703848,203578.826811436,172.592934344791,0.0183101022024924,0.964432218392531
80043,"Khanh Hoa","70460","Ninh Hoa",2000,6,2000-10-16,51,1999,"2000_6",207375.900748474,3797.07393703848,203578.826811436,172.592934344791,0.0183101022024924,24.5930215690095
80043,"Khanh Hoa","70460","Ninh Hoa",2000,7,2000-11-16,41,1999,"2000_7",207375.900748474,3797.07393703848,203578.826811436,172.592934344791,0.0183101022024924,19.7708604770469
80043,"Khanh Hoa","70460","Ninh Hoa",2000,8,2000-12-16,64,1999,"2000_8",207375.900748474,3797.07393703848,203578.826811436,172.592934344791,0.0183101022024924,30.861830988561
80043,"Khanh Hoa","70460","Ninh Hoa",2000,9,2001-01-16,1,1999,"2000_9",207375.900748474,3797.07393703848,203578.826811436,172.592934344791,0.0183101022024924,0.482216109196265
80043,"Khanh Hoa","70460","Ninh Hoa",2000,10,2001-02-16,8,1999,"2000_10",207375.900748474,3797.07393703848,203578.826811436,172.592934344791,0.0183101022024924,3.85772887357012
80043,"Khanh Hoa","70460","Ninh Hoa",2000,11,2001-03-16,11,1999,"2000_11",207375.900748474,3797.07393703848,203578.826811436,172.592934344791,0.0183101022024924,5.30437720115892
80043,"Khanh Hoa","70460","Ninh Hoa",2000,12,2001-04-16,5,1999,"2000_12",207375.900748474,3797.07393703848,203578.826811436,172.592934344791,0.0183101022024924,2.41108054598133
80043,"Khanh Hoa","70460","Ninh Hoa",2001,1,2001-05-16,17,1999,"2001_1",209866.173387706,4593.19338689756,205272.980000809,174.665515877034,0.0218862969327225,8.10040023391205
80043,"Khanh Hoa","70460","Ninh Hoa",2001,2,2001-06-16,46,1999,"2001_2",209866.173387706,4593.19338689756,205272.980000809,174.665515877034,0.0218862969327225,21.9187300447032
80043,"Khanh Hoa","70460","Ninh Hoa",2001,3,2001-07-16,3,1999,"2001_3",209866.173387706,4593.19338689756,205272.980000809,174.665515877034,0.0218862969327225,1.42948239421977
80043,"Khanh Hoa","70460","Ninh Hoa",2001,4,2001-08-16,9,1999,"2001_4",209866.173387706,4593.19338689756,205272.980000809,174.665515877034,0.0218862969327225,4.28844718265932
80043,"Khanh Hoa","70460","Ninh Hoa",2001,5,2001-09-16,4,1999,"2001_5",209866.173387706,4593.19338689756,205272.980000809,174.665515877034,0.0218862969327225,1.90597652562636
80043,"Khanh Hoa","70460","Ninh Hoa",2001,6,2001-10-16,9,1999,"2001_6",209866.173387706,4593.19338689756,205272.980000809,174.665515877034,0.0218862969327225,4.28844718265932
80043,"Khanh Hoa","70460","Ninh Hoa",2001,7,2001-11-16,11,1999,"2001_7",209866.173387706,4593.19338689756,205272.980000809,174.665515877034,0.0218862969327225,5.2414354454725
80043,"Khanh Hoa","70460","Ninh Hoa",2001,8,2001-12-16,23,1999,"2001_8",209866.173387706,4593.19338689756,205272.980000809,174.665515877034,0.0218862969327225,10.9593650223516
80043,"Khanh Hoa","70460","Ninh Hoa",2001,9,2002-01-16,24,1999,"2001_9",209866.173387706,4593.19338689756,205272.980000809,174.665515877034,0.0218862969327225,11.4358591537582
80043,"Khanh Hoa","70460","Ninh Hoa",2001,10,2002-02-16,11,1999,"2001_10",209866.173387706,4593.19338689756,205272.980000809,174.665515877034,0.0218862969327225,5.2414354454725
80043,"Khanh Hoa","70460","Ninh Hoa",2001,11,2002-03-16,18,1999,"2001_11",209866.173387706,4593.19338689756,205272.980000809,174.665515877034,0.0218862969327225,8.57689436531864
80043,"Khanh Hoa","70460","Ninh Hoa",2001,12,2002-04-16,6,1999,"2001_12",209866.173387706,4593.19338689756,205272.980000809,174.665515877034,0.0218862969327225,2.85896478843955
80043,"Khanh Hoa","70460","Ninh Hoa",2002,1,2002-05-16,20,1999,"2002_1",212356.446026938,5555.4501384357,206800.995888502,176.738097409277,0.0261609677613976,9.41812710383321
80043,"Khanh Hoa","70460","Ninh Hoa",2002,2,2002-06-16,6,1999,"2002_2",212356.446026938,5555.4501384357,206800.995888502,176.738097409277,0.0261609677613976,2.82543813114996
80043,"Khanh Hoa","70460","Ninh Hoa",2002,3,2002-07-16,18,1999,"2002_3",212356.446026938,5555.4501384357,206800.995888502,176.738097409277,0.0261609677613976,8.47631439344989
80043,"Khanh Hoa","70460","Ninh Hoa",2002,4,2002-08-16,17,1999,"2002_4",212356.446026938,5555.4501384357,206800.995888502,176.738097409277,0.0261609677613976,8.00540803825823
80043,"Khanh Hoa","70460","Ninh Hoa",2002,5,2002-09-16,6,1999,"2002_5",212356.446026938,5555.4501384357,206800.995888502,176.738097409277,0.0261609677613976,2.82543813114996
80043,"Khanh Hoa","70460","Ninh Hoa",2002,6,2002-10-16,54,1999,"2002_6",212356.446026938,5555.4501384357,206800.995888502,176.738097409277,0.0261609677613976,25.4289431803497
80043,"Khanh Hoa","70460","Ninh Hoa",2002,7,2002-11-16,36,1999,"2002_7",212356.446026938,5555.4501384357,206800.995888502,176.738097409277,0.0261609677613976,16.9526287868998
80043,"Khanh Hoa","70460","Ninh Hoa",2002,8,2002-12-16,66,1999,"2002_8",212356.446026938,5555.4501384357,206800.995888502,176.738097409277,0.0261609677613976,31.0798194426496
80043,"Khanh Hoa","70460","Ninh Hoa",2002,9,2003-01-16,25,1999,"2002_9",212356.446026938,5555.4501384357,206800.995888502,176.738097409277,0.0261609677613976,11.7726588797915
80043,"Khanh Hoa","70460","Ninh Hoa",2002,10,2003-02-16,15,1999,"2002_10",212356.446026938,5555.4501384357,206800.995888502,176.738097409277,0.0261609677613976,7.06359532787491
80043,"Khanh Hoa","70460","Ninh Hoa",2002,11,2003-03-16,13,1999,"2002_11",212356.446026938,5555.4501384357,206800.995888502,176.738097409277,0.0261609677613976,6.12178261749159
80043,"Khanh Hoa","70460","Ninh Hoa",2002,12,2003-04-16,8,1999,"2002_12",212356.446026938,5555.4501384357,206800.995888502,176.738097409277,0.0261609677613976,3.76725084153329
80043,"Khanh Hoa","70460","Ninh Hoa",2003,1,2003-05-16,3,1999,"2003_1",214846.71866617,6718.37203160119,208128.346634568,178.81067894152,0.0312705359118853,1.39634434196848
80043,"Khanh Hoa","70460","Ninh Hoa",2003,2,2003-06-16,5,1999,"2003_2",214846.71866617,6718.37203160119,208128.346634568,178.81067894152,0.0312705359118853,2.32724056994746
80043,"Khanh Hoa","70460","Ninh Hoa",2003,3,2003-07-16,1,1999,"2003_3",214846.71866617,6718.37203160119,208128.346634568,178.81067894152,0.0312705359118853,0.465448113989493
80043,"Khanh Hoa","70460","Ninh Hoa",2003,4,2003-08-16,2,1999,"2003_4",214846.71866617,6718.37203160119,208128.346634568,178.81067894152,0.0312705359118853,0.930896227978986
80043,"Khanh Hoa","70460","Ninh Hoa",2003,5,2003-09-16,3,1999,"2003_5",214846.71866617,6718.37203160119,208128.346634568,178.81067894152,0.0312705359118853,1.39634434196848
80043,"Khanh Hoa","70460","Ninh Hoa",2003,6,2003-10-16,0,1999,"2003_6",214846.71866617,6718.37203160119,208128.346634568,178.81067894152,0.0312705359118853,0
80043,"Khanh Hoa","70460","Ninh Hoa",2003,7,2003-11-16,0,1999,"2003_7",214846.71866617,6718.37203160119,208128.346634568,178.81067894152,0.0312705359118853,0
80043,"Khanh Hoa","70460","Ninh Hoa",2003,8,2003-12-16,1,1999,"2003_8",214846.71866617,6718.37203160119,208128.346634568,178.81067894152,0.0312705359118853,0.465448113989493
80043,"Khanh Hoa","70460","Ninh Hoa",2003,9,2004-01-16,2,1999,"2003_9",214846.71866617,6718.37203160119,208128.346634568,178.81067894152,0.0312705359118853,0.930896227978986
